5.05	2.015	7.05	8.015	10.0	1.0	5.1	594.621	112.859	49.406	117.683
5.15	2.1	7.15	9.109	15.8	2.1	4.2	338.163	123.717	92.651	290.123
5.2	2.125	7.192	9.125	22.5	2.5	3.5	287.411	137.965	187.691	383.576
5.25	2.175	7.25	9.175	25.0	3.51	2.72	137.197	145.912	278.793	474.789
5.325	2.2	7.325	9.198	32.5	4.2	2.53	116.547	169.173	379.497	674.316
5.35	2.25	7.35	9.251	35.0	5.02	2.1	97.789	192.924	577.082	472.817
5.4	2.4	7.411	9.395	40.7	8.2	1.15	138.926	238.549	687.758	377.425
5.5	2.5	7.505	9.498	51.8	10.1	0.72	274.316	277.354	771.956	289.519
5.6	2.6	7.61	9.598	65.0	12.8	0.54	352.817	394.167	891.123	121.374
5.7	2.7	7.695	9.699	72.0	14.4	0.12	187.425	296.375	912.859	87.173
5.75	2.75	7.75	9.748	75.4	14.7	1.25	299.519	261.326	853.717	114.136
5.8	2.775	7.804	9.775	82.8	15.5	1.76	361.374	145.651	717.965	179.152
5.85	2.8	7.85	9.798	85.0	16.3	2.23	459.173	129.856	625.912	231.239
5.907	2.85	8.05	9.85	90.78	16.7	2.61	684.136	118.314	469.359	325.482
5.91	2.855	7.91	9.855	91.0	16.9	4.16	735.327	141.716	292.924	440.976
5.925	2.865	7.925	9.865	92.5	17.5	5.25	858.386	178.942	118.549	675.846
5.929	2.885	8.011	9.875	92.9	17.7	6.37	618.859	229.316	97.354	716.124
5.933	2.915	7.933	9.899	93.5	18.2	7.26	535.737	268.231	64.167	863.928
5.935	2.95	7.935	9.951	94.58	19.1	7.51	406.168	337.987	116.375	903.153
5.95	2.975	7.95	9.975	95.4	19.5	7.74	385.761	432.967	241.326	831.195
5.01	1.995	6.95	9.015	11.5	21.0	8.14	290.639	382.856	475.651	771.588
5.05	2.975	7.108	9.975	10.5	19.56	8.35	135.784	285.632	544.856	636.847
5.15	2.95	7.151	9.95	15.8	19.3	8.58	87.438	172.859	648.314	541.842
5.2	2.9	7.204	9.915	21.5	18.7	8.74	121.321	143.717	744.716	439.425
5.25	2.875	7.248	9.875	26.4	17.56	8.85	291.845	117.364	829.942	322.147
5.325	2.865	7.325	9.865	32.5	17.1	9.21	488.614	146.123	949.316	235.954
5.35	2.855	7.351	9.855	35.3	16.7	9.52	589.956	242.341	848.231	150.492
5.4	2.85	7.408	9.85	41.7	16.2	9.72	712.129	288.324	747.987	84.897
5.5	2.775	7.495	9.775	50.2	15.7	10.1	897.152	326.939	642.967	158.289
5.6	2.75	7.607	9.75	62.7	15.36	0.1	628.654	377.128	532.856	272.164
